Data,IPEDS ID,Year,NCAA Subdivision,FBS Conference,Total Expenses,Medical,Recruiting,Game Expenses and Travel,Coaches Compensation,Athletic Student Aid,Total Revenues,"Corporate Sponsorship, Advertising, Licensing",Donor Contributions,Competition Guarantees,Ticket Sales
Arkansas State University,106458,2018,Football Bowl Subdivision,Sun Belt Conference,40098989,259991,475581,3380497,4778912,7265690,40098989,3497265,9541269,1986500,1374396
Auburn University,100858,2005,Football Bowl Subdivision,Southeastern Conference,61314114,506357,1456760,5498654,9698471,6124949,57395152,888953,22865880,825000,15842982
Auburn University,100858,2006,Football Bowl Subdivision,Southeastern Conference,63249119,745190,1739224,5545630,10270828,6614949,66599925,1110444,26306262,825480,20099721
Auburn University,100858,2007,Football Bowl Subdivision,Southeastern Conference,68910465,726098,1375569,6207463,10905708,6594450,81799266,977585,31715011,0,21796102
Auburn University,100858,2008,Football Bowl Subdivision,Southeastern Conference,69841200,649485,1452521,6388877,11330594,7141616,89311824,6079271,34897688,106289,21991623
Auburn University,100858,2009,Football Bowl Subdivision,Southeastern Conference,85480343,644218,1585843,6614035,11930855,7554922,87001413,3396585,32080789,380000,23514179
Auburn University,100858,2010,Football Bowl Subdivision,Southeastern Conference,90908902,679440,1671581,7261953,13928324,8797738,92611558,3188793,29731122,0,24732134
Auburn University,100858,2011,Football Bowl Subdivision,Southeastern Conference,100497784,852477,2132892,8859213,19795958,9733611,103982441,5154986,32849477,34900,28976730
Auburn University,100858,2012,Football Bowl Subdivision,Southeastern Conference,96315831,600138,2544910,7522375,17670721,9989376,105951251,6886435,33467775,1033075,29241252
Auburn University,100858,2013,Football Bowl Subdivision,Southeastern Conference,103126413,997064,2796184,7698941,16899520,10405906,103680609,5217605,31832026,2350218,28494559
Auburn University,100858,2014,Football Bowl Subdivision,Southeastern Conference,126470602,1034511,2709528,11203454,20371279,12004603,113716004,5275554,39409078,38000,29833441
Auburn University,100858,2015,Football Bowl Subdivision,Southeastern Conference,115498047,880528,2410161,8374185,21120891,14945396,124657247,6062826,37004887,458000,30181317
Auburn University,100858,2016,Football Bowl Subdivision,Southeastern Conference,124864399,995101,2257968,9595853,22553348,15559381,140070593,6196360,35720710,3240000,32165386
Auburn University,100858,2017,Football Bowl Subdivision,Southeastern Conference,132885979,980666,2213392,10961398,23620156,15892927,147511034,8824420,35411244,58000,32991096
Auburn University,100858,2018,Football Bowl Subdivision,Southeastern Conference,139798191,935294,2083737,12219736,27013672,16998307,147620569,9630402,35683958,44000,33213941
Ball State University,150136,2005,Football Bowl Subdivision,Mid-American Conference,14803177,255837,214867,1127352,3111336,4298035,15146885,167225,1457295,635600,583227
Ball State University,150136,2006,Football Bowl Subdivision,Mid-American Conference,16189583,114034,223864,1390792,3412399,4460687,16192664,226643,1522225,1103500,1008701
Ball State University,150136,2007,Football Bowl Subdivision,Mid-American Conference,17144947,203461,290463,1602935,3437963,4787336,17300783,187832,1925350,830386,1142979
Ball State University,150136,2008,Football Bowl Subdivision,Mid-American Conference,19441780,259677,175888,2850536,4582390,5151168,22125129,321343,7876791,1498000,755855
Ball State University,150136,2009,Football Bowl Subdivision,Mid-American Conference,19616773,555659,236362,1365654,4371472,5217301,20498088,628904,1285632,258400,1019853
Ball State University,150136,2010,Football Bowl Subdivision,Mid-American Conference,17347944,255695,214168,1591952,4090285,5508883,20132632,588619,1353053,1062816,693218
Ball State University,150136,2011,Football Bowl Subdivision,Mid-American Conference,19506118,177152,219885,1583341,4075945,6036566,20483476,719088,1444423,1295500,628719
Ball State University,150136,2012,Football Bowl Subdivision,Mid-American Conference,20174709,310474,251521,1699257,4366015,6367661,21129858,591552,1543123,1111476,1562948
Ball State University,150136,2013,Football Bowl Subdivision,Mid-American Conference,22727145,574159,381883,2465660,4817146,6673197,21315999,518027,571219,1047000,555765
Ball State University,150136,2014,Football Bowl Subdivision,Mid-American Conference,25245450,743045,396476,3027467,4814904,6998305,23424359,721138,697601,939120,1018482
